m,r,medQ,medE
0,0.1,0.016908236385607976,2.600720437211692
0,0.11,0.01612599634196718,2.48180941037342
0,0.12,0.01573769027268864,2.426642271788218
0,0.13,0.015209855131543009,2.329242178917248
0,0.14,0.014831017981850513,2.279456474254742
0,0.15,0.014547832111462353,2.2366340045733946
0,0.16,0.014050030221537632,2.161697073327787
0,0.17,0.013697664457269181,2.118965193071215
0,0.18,0.01303529659944077,2.0544503176305193
0,0.19,0.012785872073788595,2.0225722096804852
0,0.2,0.012324777843004432,1.9863167303384497
0,0.21,0.012095492677717713,1.9319972991294463
0,0.22,0.011647340424479177,1.9001904535911895
0,0.23,0.011440064177805303,1.853601157900596
0,0.24,0.011227877866617886,1.8295967268322417
0,0.25,0.010843086603699642,1.7978166726594946
1,0.1,0.13770353105059455,0.10240299206213975
1,0.11,0.14461313722851157,0.08926647446344518
1,0.12,0.1476868244424476,0.08394913311851926
1,0.13,0.15230736130593853,0.07529341356243033
1,0.14,0.15340545626992205,0.0717917995551624
1,0.15,0.15528119825982417,0.06850149908668639
1,0.16,0.1569856031746429,0.06281742312934525
1,0.17,0.15698458439134105,0.06046782199265856
1,0.18,0.15692907153448293,0.05615348727689505
1,0.19,0.15701059340481424,0.054144729271610084
1,0.2,0.1569411852664229,0.052502634899947755
1,0.21,0.15696155175413676,0.04916448670886481
1,0.22,0.1565642991457112,0.04780238403688681
1,0.23,0.15661997452286394,0.04505982964659154
1,0.24,0.15615752208606334,0.04387134270059051
1,0.25,0.15588261732631023,0.04277498808319128
2,0.1,0.19062737917782385,0.1097746886413257
2,0.11,0.19954315215700752,0.09484070046633485
2,0.12,0.20350758922981832,0.0887403946144869
2,0.13,0.20917382096647533,0.07900906548965146
2,0.14,0.21037719272521918,0.07508349774652677
2,0.15,0.21272173519282167,0.07147178648651083
2,0.16,0.21464753902602965,0.06514980229038278
2,0.17,0.2145575375263619,0.06261170949263162
2,0.18,0.2143865729736543,0.0579112722807933
2,0.19,0.21435740723996907,0.055686788114476256
2,0.2,0.2140571688592673,0.05386865073100007
2,0.21,0.21353404468324574,0.050341647626866805
2,0.22,0.2129572784029093,0.04891497251374278
2,0.23,0.21246307756049596,0.046039809036088786
2,0.24,0.21185551035146702,0.04470266817270803
2,0.25,0.21123265124234103,0.04351358336967762
3,0.1,0.23962796930299968,0.11452505170226747
3,0.11,0.2491451554579267,0.10017681416745525
3,0.12,0.2534590403255553,0.0941010309243211
3,0.13,0.25949018245926064,0.08377310263340737
3,0.14,0.2610226445249046,0.07938027163715303
3,0.15,0.26337946119860856,0.07555471278234568
3,0.16,0.26514543499197213,0.06865724395181029
3,0.17,0.26519249844168497,0.06571729828040229
3,0.18,0.2645630591284368,0.06056297134983098
3,0.19,0.2642361696651128,0.0581105268714675
3,0.2,0.2637744697141864,0.05609962334100139
3,0.21,0.2627932383772532,0.05227756206079557
3,0.22,0.26189810021687027,0.050695503204363855
3,0.23,0.26099352625279315,0.04755309979622935
3,0.24,0.2598578182063296,0.046137311451627715
3,0.25,0.25898808746033203,0.04488459114705781
4,0.1,0.2917004249044838,0.1096504434094824
4,0.11,0.29935272535907453,0.09972092451622418
4,0.12,0.303326497165854,0.09485435171881514
4,0.13,0.3083513257030999,0.08657377045571704
4,0.14,0.30927351572803774,0.0825102610041805
4,0.15,0.31180522669071264,0.07861188756965336
4,0.16,0.31315903228167596,0.07174484527888875
4,0.17,0.3129476111505621,0.0688565951182653
4,0.18,0.3117255732719772,0.06333884708722712
4,0.19,0.31095870752179117,0.060769631118483415
4,0.2,0.31027792008502536,0.05858828106802988
4,0.21,0.3088576234713589,0.054382217824211244
4,0.22,0.3078708385214297,0.05266731779194036
4,0.23,0.3061995940948835,0.04925689482830365
4,0.24,0.3046255809133172,0.047751478928709935
4,0.25,0.3036381489962539,0.046356476919064644
