m,r,medQ,medE
0,0.1,0.019076437820439867,2.480053141017705
0,0.11,0.018422302210017675,2.4189777391474325
0,0.12,0.017262051787475738,2.3140276611294412
0,0.13,0.01678500579353526,2.266629469895249
0,0.14,0.016328634474568917,2.2250284353995173
0,0.15,0.015561380274085147,2.1456162305420743
0,0.16,0.015234419584849725,2.1087890049105047
0,0.17,0.014620131864636565,2.0391981731147286
0,0.18,0.014329060054806737,2.006749079548498
0,0.19,0.01387159847446219,1.945110468884749
0,0.2,0.013688882946536403,1.9171033087788167
0,0.21,0.013356759237579867,1.8889379959470614
0,0.22,0.013186624392676581,1.8362918200072886
0,0.23,0.012831527997004141,1.8103944519559456
0,0.24,0.012632119134322144,1.7623848352748839
0,0.25,0.012332333261320227,1.7388513449266572
1,0.1,0.12269710120364617,0.08946976443032428
1,0.11,0.12662079486839198,0.0833689433075781
1,0.12,0.13339549039042944,0.0757885597658764
1,0.13,0.13629144661446968,0.07034004018865542
1,0.14,0.14066371978298273,0.0668189843425772
1,0.15,0.1423441766965733,0.06074045613014275
1,0.16,0.14411597568025977,0.0582800755400858
1,0.17,0.14636367637377226,0.053821567337057355
1,0.18,0.15021066543866074,0.05179405195033803
1,0.19,0.15264968264842999,0.0482935881026455
1,0.2,0.15552354093817683,0.04682463041779559
1,0.21,0.15691894069165144,0.04530179747344617
1,0.22,0.1581318912697536,0.04267737270578234
1,0.23,0.16021536584017163,0.041468742938227714
1,0.24,0.16071076576165516,0.03931049073253473
1,0.25,0.16186954320713864,0.03833871842857119
2,0.1,0.16937405208847642,0.09441506563840475
2,0.11,0.17411771035180226,0.08760147292222285
2,0.12,0.1832713214886353,0.07827799576077242
2,0.13,0.18711099914296955,0.07287260821964629
2,0.14,0.1927243712581486,0.06917369571942246
2,0.15,0.19477747637908954,0.06260181067627701
2,0.16,0.19665285216937184,0.059842212980366474
2,0.17,0.19927961890442555,0.054970080633368834
2,0.18,0.20361815404960204,0.05280764336592462
2,0.19,0.20674769657614528,0.0491752356138974
2,0.2,0.21020094034109182,0.04750950923046505
2,0.21,0.21180318486008168,0.04591795254655737
2,0.22,0.2131046270012252,0.04319905773051595
2,0.23,0.21527069907368962,0.042047653214359965
2,0.24,0.21594118300974946,0.03972912026426867
2,0.25,0.21729047960339948,0.0387121134138742
3,0.1,0.2173976601748642,0.10090237610509574
3,0.11,0.22146470009274663,0.093635500322033
3,0.12,0.23026488015144428,0.08372977992700736
3,0.13,0.2341615291668708,0.07734070092136215
3,0.14,0.23999963718355483,0.073134775500163507
3,0.15,0.24229208125034002,0.06585389956697153
3,0.16,0.24426330177756347,0.06271730060451407
3,0.17,0.24724050222099941,0.05732944935831602
3,0.18,0.2488474513022668,0.055064365300675884
3,0.19,0.25203151314134614,0.05106331344641618
3,0.2,0.2563675871573776,0.049235443719343526
3,0.21,0.25805589308763704,0.04754343689592001
3,0.22,0.2592835845928745,0.044585520159535603
3,0.23,0.2618189081718626,0.04331862209883093
3,0.24,0.26222628440720613,0.04084518942865671
3,0.25,0.2634429624873176,0.03976295408169679
4,0.1,0.2552491362402478,0.10377763947122612
4,0.11,0.2617854084393014,0.09655484797534204
4,0.12,0.27560378964598053,0.089884998435663
4,0.13,0.2808399259535595,0.08078228269857961
4,0.14,0.2873907198666736,0.07670070606117876
4,0.15,0.289273044447408,0.0692835741603878
4,0.16,0.29081520281470497,0.06599669323307776
4,0.17,0.2932956481803737,0.060127511238937115
4,0.18,0.29374021946557605,0.057717782114652276
4,0.19,0.2944709413982476,0.05332354843318985
4,0.2,0.29868030671114565,0.051332691723497303
4,0.21,0.30040406036208933,0.04951505231319538
4,0.22,0.30173795271529974,0.04623222306447002
4,0.23,0.3041745548526234,0.04486345611486235
4,0.24,0.30447415602451583,0.04220833847378644
4,0.25,0.3057489631691886,0.04103902798873516
