m,r,medQ,medE
0,0.1,0.03072032733200238,2.712877016269681
0,0.11,0.030219691541691216,2.619364402563272
0,0.12,0.02986958240445809,2.53725839361452
0,0.13,0.029479722357612547,2.4606829466116564
0,0.14,0.029208797683661837,2.3902105900398234
0,0.15,0.028914149849543675,2.3250125407407496
0,0.16,0.028602436003725123,2.2629610184907576
0,0.17,0.028322331383968728,2.2052063974282134
0,0.18,0.028116661090532773,2.1505717033945153
0,0.19,0.027837188099243262,2.0991917427778652
0,0.2,0.02766711261435733,2.0493145372205905
0,0.21,0.027505627046171315,2.004072769121771
0,0.22,0.027300258619801093,1.9604063210813811
0,0.23,0.027120484673474464,1.9181997510531568
0,0.24,0.027035301698266144,1.8765406585215294
0,0.25,0.02688970382180495,1.8368613386315364
1,0.1,0.07308131166551866,0.2748430284944928
1,0.11,0.0776375781003625,0.2504304422944601
1,0.12,0.08230054270836466,0.23114659923950795
1,0.13,0.08646615226748586,0.2139796362124469
1,0.14,0.09032846682929765,0.19985456591103276
1,0.15,0.09376144086947277,0.18751375285470057
1,0.16,0.09767204521022341,0.17644779593487375
1,0.17,0.10050708332254199,0.16704393086700015
1,0.18,0.10430904600902852,0.1589546642009957
1,0.19,0.10763727490226341,0.15149970950160593
1,0.2,0.11071410470931285,0.14466608243865114
1,0.21,0.11377132033609005,0.1386748504209863
1,0.22,0.11654212098483806,0.13351061482850576
1,0.23,0.11997901135305983,0.12878581232225222
1,0.24,0.12365079107935678,0.12427154751875574
1,0.25,0.1265563849334356,0.12011249728799908
2,0.1,0.1076181024341332,0.2597753032425843
2,0.11,0.11287875554345976,0.24490543378184346
2,0.12,0.11743474769736045,0.2325822351786129
2,0.13,0.12100701691111271,0.2198322900105537
2,0.14,0.12500077729425307,0.2070419167171156
2,0.15,0.1284138507874004,0.19554676167708193
2,0.16,0.13262309348537266,0.1846758574772623
2,0.17,0.13511790444711005,0.17456315535167913
2,0.18,0.13924903494417787,0.16442697760438163
2,0.19,0.1429055499052348,0.15533542889151664
2,0.2,0.14533451462220828,0.1472452295988214
2,0.21,0.14790533459810548,0.1396029447400284
2,0.22,0.14990623321226917,0.13289720594765295
2,0.23,0.15348545555357515,0.12652810647907103
2,0.24,0.15717784546391078,0.12057176083706629
2,0.25,0.16109247259351006,0.11549114350087827
3,0.1,0.14421116790583582,0.2039923634369403
3,0.11,0.14835991516938432,0.19972410349399874
3,0.12,0.15175085011519815,0.194916811454754
3,0.13,0.15342822630003727,0.1887438238307778
3,0.14,0.15627594126255506,0.18123442863372227
3,0.15,0.15808884595393707,0.17459744681666195
3,0.16,0.1611925940425839,0.16662075412959704
3,0.17,0.16255330905632104,0.16036756972178018
3,0.18,0.16675908100682904,0.15412495800872425
3,0.19,0.17206201578996022,0.1496957609893667
3,0.2,0.17514945957557457,0.14489812534704144
3,0.21,0.17856637452052126,0.13978624991414315
3,0.22,0.1814257454951717,0.1355187609302308
3,0.23,0.1854178903657501,0.13122364122558083
3,0.24,0.18991450046160682,0.1267575197954516
3,0.25,0.19329448132485913,0.12283558423472167
4,0.1,0.16434193866976982,0.1629082937119261
4,0.11,0.16832585732560956,0.15958718326616944
4,0.12,0.17510720467254742,0.15670951219431048
4,0.13,0.1822999283296896,0.1546547373791544
4,0.14,0.19122140031045026,0.15230062277467546
4,0.15,0.1973266423108134,0.1498700704134368
4,0.16,0.188862356706582,0.14269684032969662
4,0.17,0.18817333890346877,0.14062990285416052
4,0.18,0.1916211846778124,0.1392425231685803
4,0.19,0.1968757727630869,0.13703881403193427
4,0.2,0.19948028398293868,0.13489759789198505
4,0.21,0.20146535339634744,0.13049784828161004
4,0.22,0.20373896027165275,0.1265694335469112
4,0.23,0.20673495979295567,0.1225369078328674
4,0.24,0.21048618006986666,0.11831103577167436
4,0.25,0.21398977414090023,0.1143769860890383
