m,r,medQ,medE
0,0.1,0.02468541571503275,2.8869541810469763
0,0.11,0.024615552673201195,2.793490331573942
0,0.12,0.024562543692023677,2.7066097975402412
0,0.13,0.02439745742267099,2.626234983478907
0,0.14,0.0244365749910805,2.5528447367004987
0,0.15,0.024466423356410118,2.4814292195795242
0,0.16,0.02442260687777971,2.4182307747797824
0,0.17,0.024411755250758876,2.3567379591284903
0,0.18,0.02437036410205978,2.2988483396175807
0,0.19,0.024321498258793487,2.245790442338266
0,0.2,0.024328268847889696,2.1952805222904237
0,0.21,0.02429006420502531,2.1460520109567223
0,0.22,0.024292212644012635,2.0990029968591473
0,0.23,0.024258993612347023,2.056178696538978
0,0.24,0.024215013198768565,2.0144526715141624
0,0.25,0.024232579647972725,1.9726262288968421
1,0.1,0.044670429857613346,2.4218811404003424
1,0.11,0.043776630237921076,2.3222920677003587
1,0.12,0.04257240836089588,2.239538351767585
1,0.13,0.042277168333907315,2.1601504179186493
1,0.14,0.04221849669100039,2.0930062949311083
1,0.15,0.04273708080322424,2.030593236285352
1,0.16,0.042008792675299236,1.9642074770316074
1,0.17,0.04210053282756857,1.9072888689728473
1,0.18,0.04076152513106322,1.8508546889137845
1,0.19,0.039568665370536,1.7969786877563385
1,0.2,0.039184322155904734,1.744663341371753
1,0.21,0.038993891379759185,1.6964248287809034
1,0.22,0.038993527669250586,1.6510170641996411
1,0.23,0.038516769229040404,1.6090076793333197
1,0.24,0.037922261422046195,1.564965006500696
1,0.25,0.03760424929415863,1.5214936995559303
2,0.1,0.088750033697379,2.4169589204953126
2,0.11,0.07963646243886763,2.303555495787324
2,0.12,0.08064684610264647,2.2281973614315893
2,0.13,0.07247105731188398,2.123335735237061
2,0.14,0.06864734980519646,2.07032755454213
2,0.15,0.06956213151731122,2.008661359618789
2,0.16,0.06768284773655904,1.9334236437617185
2,0.17,0.06609592692062133,1.8673409956563174
2,0.18,0.058536902562650275,1.8041819892266122
2,0.19,0.0592645499481074,1.7693613713471
2,0.2,0.05545820884864318,1.7102717082789347
2,0.21,0.05383075137697033,1.6691571471357227
2,0.22,0.0535606555229327,1.6251172355836065
2,0.23,0.05389528261307886,1.582086686649278
2,0.24,0.05416464944638172,1.5409385025905202
2,0.25,0.053101289720611365,1.4924897816038862
3,0.1,0.24247749929656676,2.3116349285139637
3,0.11,0.19504287568637071,2.371577964480997
3,0.12,0.18794044848690455,2.3156571745613985
3,0.13,0.1565478877256832,2.1582224195329505
3,0.14,0.15004878725113854,2.068580302248231
3,0.15,0.14356588721100022,2.050850408350577
3,0.16,0.11798391207393424,1.9579255857997244
3,0.17,0.10778390140035532,1.8786064671592066
3,0.18,0.09265492449023444,1.8274285454347898
3,0.19,0.09326617257810257,1.7586239076319563
3,0.2,0.09088359595787845,1.762564335921522
3,0.21,0.08815318714197518,1.7184625929092128
3,0.22,0.08132067382103586,1.6546237050558565
3,0.23,0.08795043869338688,1.6023628503391218
3,0.24,0.08583817441470437,1.5407741507082238
3,0.25,0.08370975293794691,1.5073951062745967
4,0.1,0.6684737343737892,2.4201211540837875
4,0.11,0.9152741657254386,3.052396616207493
4,0.12,0.6400632067219947,3.068052935133617
4,0.13,0.45034055207277846,2.3025850929940455
4,0.14,0.34696149079892863,2.120263536200091
4,0.15,0.2824550334738118,2.1400661634962708
4,0.16,0.26940795304016235,1.971552579668651
4,0.17,0.24365796154926905,1.9110228900548727
4,0.18,0.23038666237971844,1.8417698898027164
4,0.19,0.22235596882195066,1.742969305058623
4,0.2,0.2039277367236842,1.725738368130261
4,0.21,0.16867531608094638,1.6458055566049752
4,0.22,0.14628261388231553,1.6449123006277604
4,0.23,0.13411964889512717,1.6357552207514738
4,0.24,0.12687342743763633,1.55814461804655
4,0.25,0.11752783885213187,1.503427413002984
