m,r,medQ,medE
0,0.1,0.024953668673870045,2.8853035419467776
0,0.11,0.024885913080823538,2.787262422893801
0,0.12,0.024909860833127382,2.697564824757412
0,0.13,0.02494115227366189,2.61728212558528
0,0.14,0.025005943344092656,2.545696450410868
0,0.15,0.025017775491353714,2.477081490507319
0,0.16,0.024919083925170383,2.4127172909129797
0,0.17,0.024908531037271437,2.35186787097023
0,0.18,0.0248981842580709,2.2956621649086957
0,0.19,0.02490574272975933,2.2407529334542176
0,0.2,0.02486567808179866,2.189918002153781
0,0.21,0.024830603386128393,2.1425316628058617
0,0.22,0.024801518139184634,2.0956441702678736
0,0.23,0.024753030797358182,2.051261766966049
0,0.24,0.024747281766447537,2.0091836715087403
0,0.25,0.02465893160762381,1.9683461505496471
1,0.1,0.05482254501107318,2.8733081251815062
1,0.11,0.05310852463697895,2.7793165663269304
1,0.12,0.05202510105154915,2.688155980003344
1,0.13,0.05097708778296817,2.61509803516703
1,0.14,0.04977256089190609,2.5412328308442205
1,0.15,0.04883802961739566,2.4734464325849994
1,0.16,0.0486493506580996,2.4088624142079778
1,0.17,0.047625549255709325,2.350784851242268
1,0.18,0.04738915358847983,2.2932605536542865
1,0.19,0.04703277319545231,2.239472612154334
1,0.2,0.04657949696668237,2.191588247423394
1,0.21,0.04634964327262299,2.1391377541042287
1,0.22,0.04618317691279,2.0903966405256273
1,0.23,0.04570995625513521,2.044107380897247
1,0.24,0.04506199359145681,2.003139885897357
1,0.25,0.045110464020848916,1.9584140933528051
2,0.1,0.11574410912129866,2.8534953608525817
2,0.11,0.10248913495760024,2.7495992040150825
2,0.12,0.10729335529719788,2.629429246486283
2,0.13,0.10253140966285866,2.5441230190128783
2,0.14,0.09911189123023499,2.5281746300365158
2,0.15,0.09171789090660568,2.4437668851036896
2,0.16,0.08433421190877388,2.3711156354011544
2,0.17,0.07995484939347648,2.3305652576496843
2,0.18,0.07630687976378593,2.2891885175441606
2,0.19,0.07480532778341656,2.217499785197525
2,0.2,0.07195347371443916,2.1633870584453456
2,0.21,0.07090025571259352,2.1177967280131047
2,0.22,0.06878011547172165,2.076125668889031
2,0.23,0.06784223841904649,2.028793385481752
2,0.24,0.0657832175089339,1.998997784445705
2,0.25,0.06436626648520667,1.9526602655520375
3,0.1,0.45488830162204374,3.248434627109745
3,0.11,0.31740019698267813,2.906120114864304
3,0.12,0.30917864447867294,2.9502698994772336
3,0.13,0.274955848906714,2.7032769223495525
3,0.14,0.2661670489733537,2.659260036932778
3,0.15,0.23268114410816867,2.587137272436899
3,0.16,0.18901016920915406,2.3877429013343523
3,0.17,0.18511239458423637,2.3559001517617673
3,0.18,0.15851991970370116,2.3188162879226284
3,0.19,0.1490764292051445,2.228710193909786
3,0.2,0.14627721140747388,2.208413505254025
3,0.21,0.13682397937031163,2.1443021758818768
3,0.22,0.12434316015408126,2.106252799130493
3,0.23,0.12028699848945387,2.085998942225995
3,0.24,0.11617268026537284,2.0087491549678864
3,0.25,0.11008405629163136,2.020352625309829
4,0.12,0.8683884660215715,2.1242476210246797
4,0.13,0.6232780846595166,1.9303648555202977
4,0.14,0.7870157666505676,2.11705325229863
4,0.15,0.6729167646032299,2.170602320076813
4,0.16,0.5037231494320294,1.8328785183465413
4,0.17,0.4372451196830333,1.8245167727833682
4,0.18,0.43616472062133566,1.8101086078962516
4,0.19,0.39289999419128147,2.0074680420547466
4,0.2,0.3697416135079924,1.9339339580085977
4,0.21,0.32267023845427223,2.0476928433652555
4,0.22,0.2928299052551238,1.911718784307034
4,0.23,0.2808508715953455,1.845826690498331
4,0.24,0.28332542214209117,1.9393954680341197
4,0.25,0.2613272548852946,1.8207470061013074
